"_id","id","artists","metascore","release_date","sort_no","summary","title","user_score","Unnamed: 0","track_id","album_name","track_name","popularity","duration_ms","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","track_genre"
"ObjectId(""67ffc98fcede12a7f935351c"")",4112,"The Fray",56,"February 3, 2009",12912,"The follow-up to the Colorado quartet's twice-platinum debut album was produced by Aaron Johnson and Mike Flynn.","The Fray","7.2",79535,"2atYprr9JsQaLynGhrWhld","Scars & Stories","Heartbeat",53,220693,false,0.458,0.821,9,-5.076,1,0.0334,0.000594,0.0000946,0.161,0.323,144.46,4,"piano"
"ObjectId(""67ffc98fcede12a7f935351d"")",4112,"The Fray",56,"February 3, 2009",12912,"The follow-up to the Colorado quartet's twice-platinum debut album was produced by Aaron Johnson and Mike Flynn.","The Fray","7.2",79803,"6V2SKZhymLim16ri8A7K6h","The Fray","Ungodly Hour",45,304520,false,0.563,0.274,3,-12.995,1,0.0333,0.482,0.000135,0.245,0.183,81.928,4,"piano"
"ObjectId(""67ffc98fcede12a7f935351e"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",91425,"1l1ra0gsPlpnDOc4HdkKZU","Emo Christmas 2022","O Come All Ye Faithful",1,124653,false,0.516,0.818,11,-6.076,1,0.0393,0.00701,0,0.337,0.769,121.907,4,"rock"
"ObjectId(""67ffc98fcede12a7f935351f"")",4112,"The Fray",56,"February 3, 2009",12912,"The follow-up to the Colorado quartet's twice-platinum debut album was produced by Aaron Johnson and Mike Flynn.","The Fray","7.2",91951,"5fVZC9GiM4e8vu99W0Xf6J","How To Save A Life","How to Save a Life",80,262533,false,0.64,0.743,10,-4.08,1,0.0379,0.269,0,0.101,0.361,122.035,4,"rock"
"ObjectId(""67ffc98fcede12a7f9353520"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",91435,"7ap0629CiomlhaqBlf3bC9","This Is Why - This Is Rock","Records",0,208920,false,0.658,0.773,11,-5.119,1,0.0244,0.000901,0,0.194,0.66,100.006,4,"rock"
"ObjectId(""67ffc98fcede12a7f9353521"")",3700,"UNKLE",56,"September 2, 2008",12914,"The latest album from the London electronic group features Josh Homme, Gavin Clark, Joel Cadbury, Philip Sheppard, Black Mountain, and Abel Ferrara as guest artists.","End Titles: Stories For Film","8.4",111452,"0vkxviQkVKdgxEdmDncedH","Psyence Fiction","Unreal",43,308373,false,0.624,0.819,8,-7.428,0,0.0299,0.106,0.897,0.137,0.54,105.133,4,"trip-hop"
"ObjectId(""67ffc98fcede12a7f9353522"")",4112,"The Fray",56,"February 3, 2009",12912,"The follow-up to the Colorado quartet's twice-platinum debut album was produced by Aaron Johnson and Mike Flynn.","The Fray","7.2",79470,"6IDDwI0YOCAUDhMZltQekS","Helios","Love Don't Die",56,183093,false,0.632,0.805,11,-4.488,0,0.0303,0.0095,0,0.197,0.275,115.489,4,"piano"
"ObjectId(""67ffc98fcede12a7f9353523"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",91439,"3M1kaOBZv0cvlXK7xYCT1Z","Rock n Roll Christmas","O Come All Ye Faithful",0,124653,false,0.516,0.818,11,-6.076,1,0.0393,0.00701,0,0.337,0.769,121.907,4,"rock"
"ObjectId(""67ffc98fcede12a7f9353524"")",3700,"UNKLE",56,"September 2, 2008",12914,"The latest album from the London electronic group features Josh Homme, Gavin Clark, Joel Cadbury, Philip Sheppard, Black Mountain, and Abel Ferrara as guest artists.","End Titles: Stories For Film","8.4",111820,"5WRn4yLpfAMerAH5zaiHO0","War Stories","Burn My Shadow (featuring Ian Astbury)",33,299146,false,0.298,0.837,9,-6.095,0,0.0827,0.0337,0.0875,0.121,0.185,193.955,4,"trip-hop"
"ObjectId(""67ffc98fcede12a7f9353525"")",3220,"Backstreet Boys",56,"October 30, 2007",12913,"The sixth studio album does not include Kevin Richardson, who left the group.","Unbreakable","7.5",20705,"47BBI51FKFwOMlIiX6m8ya","Millennium","I Want It That Way",81,213306,false,0.689,0.694,6,-5.83,0,0.027,0.257,0,0.148,0.482,99.039,4,"dance"
"ObjectId(""67ffc98fcede12a7f9353526"")",371,"Staind",55,"May 8, 2001",12923,"This is the sophomore major-label release for the New England alt-metal band.","Break The Cycle","8.5",2379,"63hVrWvNfJz10heZwTjCOy","Post-Millennial Noise","Epiphany",0,256133,false,0.559,0.487,6,-9.349,1,0.0266,0.0333,0.0826,0.129,0.145,149.959,4,"alt-rock"
"ObjectId(""67ffc98fcede12a7f9353527"")",4112,"The Fray",56,"February 3, 2009",12912,"The follow-up to the Colorado quartet's twice-platinum debut album was produced by Aaron Johnson and Mike Flynn.","The Fray","7.2",79274,"1N62wozuHCvczCkY4QidpP","How To Save A Life","Over My Head (Cable Car)",70,236266,false,0.592,0.729,8,-4.156,1,0.0448,0.022,0,0.0653,0.709,116.03,4,"piano"
"ObjectId(""67ffc98fcede12a7f9353528"")",371,"Staind",55,"May 8, 2001",12923,"This is the sophomore major-label release for the New England alt-metal band.","Break The Cycle","8.5",2380,"4jZDioY5bkeiNBGK4lGrlA","Metal","Eyes Wide Open",0,210600,false,0.29,0.936,1,-3.876,0,0.211,0.000481,0.0275,0.0573,0.432,167.818,3,"alt-rock"
"ObjectId(""67ffc98fcede12a7f9353529"")",371,"Staind",55,"May 8, 2001",12923,"This is the sophomore major-label release for the New England alt-metal band.","Break The Cycle","8.5",3677,"63hVrWvNfJz10heZwTjCOy","Post-Millennial Noise","Epiphany",0,256133,false,0.559,0.487,6,-9.349,1,0.0266,0.0333,0.0826,0.129,0.145,149.959,4,"alternative"
"ObjectId(""67ffc98fcede12a7f935352a"")",371,"Staind",55,"May 8, 2001",12923,"This is the sophomore major-label release for the New England alt-metal band.","Break The Cycle","8.5",3678,"4jZDioY5bkeiNBGK4lGrlA","Metal","Eyes Wide Open",0,210600,false,0.29,0.936,1,-3.876,0,0.211,0.000481,0.0275,0.0573,0.432,167.818,3,"alternative"
"ObjectId(""67ffc98fcede12a7f935352b"")",371,"Staind",55,"May 8, 2001",12923,"This is the sophomore major-label release for the New England alt-metal band.","Break The Cycle","8.5",44085,"4jZDioY5bkeiNBGK4lGrlA","Metal","Eyes Wide Open",0,210600,false,0.29,0.936,1,-3.876,0,0.211,0.000481,0.0275,0.0573,0.432,167.818,3,"grunge"
